Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,109217366,1399.0906939643764,2617711,33.53326704095925,348150,2413912,30.922571555597997,78334,1.0034701845950544,8251,
United States of America,Americas,27433718,8288.07,600892,181.54,95902,482989,145.92,21379,6.46,1213,Community transmission
India,South-East Asia,10937320,792.56,78949,5.72,11610,155913,11.3,661,0.05,100,Clusters of cases
Brazil,Americas,9866710,4641.86,318631,149.9,32197,239773,112.8,7603,3.58,528,Community transmission
Russian Federation,Europe,4112151,2817.81,99441,68.14,12828,81446,55.81,3312,2.27,467,Clusters of cases
The United Kingdom,Europe,4058472,5978.36,86320,127.15,10625,118195,174.11,4345,6.4,799,Community transmission
France,Europe,3429726,5254.39,125370,192.07,19011,82383,126.21,2646,4.05,582,Community transmission
Spain,Europe,3096343,6622.52,62383,133.43,3857,65979,141.12,1290,2.76,54,Community transmission
Italy,Europe,2739591,4531.11,84272,139.38,10368,94171,155.75,2169,3.59,336,Clusters of cases
Turkey,Europe,2602034,3085.21,53839,63.84,7906,27652,32.79,654,0.78,90,Community transmission
Germany,Europe,2350399,2805.31,50403,60.16,7556,66164,78.97,3195,3.81,560,Community transmission
Colombia,Americas,2198549,4320.8,37087,72.89,3510,57786,113.57,1496,2.94,181,Community transmission
Argentina,Americas,2029057,4489.48,43556,96.37,3259,50327,111.35,929,2.06,91,Community transmission
Mexico,Americas,1995892,1548.01,59879,46.44,3098,174657,135.46,7926,6.15,450,Community transmission
Poland,Europe,1605372,4241.79,41727,110.25,8699,41308,109.15,1587,4.19,280,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1534034,1826.38,52638,62.67,8011,59117,70.38,492,0.59,89,Community transmission
South Africa,Africa,1494119,2519.22,14866,25.07,1210,48313,81.46,1444,2.43,219,Community transmission
Ukraine,Europe,1280904,2928.87,27849,63.68,4286,24689,56.45,755,1.73,147,Community transmission
Peru,Americas,1238501,3756.24,47280,143.4,3203,43880,133.08,1413,4.29,177,Community transmission
Indonesia,South-East Asia,1233959,451.13,59180,21.64,10029,33596,12.28,1620,0.59,229,Community transmission
Czechia,Europe,1112322,10386.81,56907,531.4,12668,18596,173.65,954,8.91,166,Community transmission
Netherlands,Europe,1034795,6039.12,25229,147.24,2735,14929,87.13,423,2.47,88,Community transmission
Canada,Americas,826924,2190.98,18804,49.82,1139,21311,56.46,476,1.26,18,Community transmission
Portugal,Europe,788561,7733.49,18059,177.11,1502,15522,152.23,965,9.46,111,Clusters of cases
Chile,Americas,782039,4090.97,23850,124.76,2498,19644,102.76,560,2.93,20,Community transmission
Romania,Europe,765970,3981.61,16536,85.96,2676,19526,101.5,470,2.44,81,Community transmission
Belgium,Europe,741205,6395.42,9088,78.41,0,21750,187.67,226,1.95,0,Community transmission
Israel,Europe,731037,8445.89,32020,369.94,5191,5417,62.58,218,2.52,14,Community transmission
Iraq,Eastern Mediterranean,649982,1615.97,17725,44.07,3332,13192,32.8,58,0.14,7,Community transmission
Sweden,Europe,617869,6117.96,21712,214.99,1905,12487,123.64,28,0.28,1,Community transmission
Pakistan,Eastern Mediterranean,564824,255.7,8305,3.76,747,12380,5.6,314,0.14,47,Community transmission
Philippines,Western Pacific,552246,503.96,12019,10.97,1386,11524,10.52,228,0.21,7,Community transmission
Switzerland,Europe,541667,6258.7,5592,64.61,3,9055,104.63,81,0.94,1,Community transmission
Bangladesh,South-East Asia,541434,328.76,2669,1.62,396,8298,5.04,69,0.04,13,Community transmission
Morocco,Eastern Mediterranean,479071,1297.92,2946,7.98,476,8504,23.04,80,0.22,13,Clusters of cases
Austria,Europe,432469,4801.8,9897,109.89,1382,8164,90.65,180,2,36,Community transmission
Serbia,Europe,424020,6088.95,12165,174.69,1810,4261,61.19,107,1.54,16,Community transmission
Japan,Western Pacific,419015,331.3,10829,8.56,1250,7102,5.62,545,0.43,87,Clusters of cases
Hungary,Europe,389622,4033.21,9609,99.47,0,13837,143.23,490,5.07,0,Community transmission
Saudi Arabia,Eastern Mediterranean,373368,1072.47,2381,6.84,322,6441,18.5,31,0.09,3,Sporadic cases
United Arab Emirates,Eastern Mediterranean,355131,3590.66,22528,227.78,3236,1041,10.53,94,0.95,14,Community transmission
Jordan,Eastern Mediterranean,352219,3452.07,13897,136.2,2657,4491,44.02,96,0.94,18,Community transmission
Lebanon,Eastern Mediterranean,343584,5033.87,18725,274.34,2723,4092,59.95,355,5.2,55,Community transmission
Panama,Americas,332679,7710.24,5025,116.46,500,5642,130.76,136,3.15,6,Community transmission
Slovakia,Europe,282864,5181,17057,312.42,3168,6168,112.97,786,14.4,105,Clusters of cases
Nepal,South-East Asia,272945,936.77,730,2.51,105,2055,7.05,8,0.03,0,Clusters of cases
Belarus,Europe,270921,2867.09,10861,114.94,1134,1867,19.76,66,0.7,9,Community transmission
Malaysia,Western Pacific,269165,831.63,20849,64.42,2710,983,3.04,74,0.23,8,Clusters of cases
Ecuador,Americas,268073,1519.43,8290,46.99,372,15392,87.24,306,1.73,37,Community transmission
Georgia,Europe,266948,6691.82,3347,83.9,486,3390,84.98,79,1.98,13,Community transmission
Kazakhstan,Europe,251959,1341.87,4426,23.57,0,3246,17.29,61,0.32,0,Clusters of cases
Croatia,Europe,238501,5809.63,2168,52.81,502,5375,130.93,137,3.34,18,Community transmission
Bolivia (Plurinational State of),Americas,237144,2031.56,7957,68.17,412,11234,96.24,370,3.17,32,Community transmission
Azerbaijan,Europe,232337,2291.48,975,9.62,140,3185,31.41,22,0.22,2,Clusters of cases
Bulgaria,Europe,232096,3340.26,6035,86.85,1349,9703,139.64,221,3.18,32,Clusters of cases
Dominican Republic,Americas,231095,2130.32,6557,60.44,532,2975,27.42,111,1.02,16,Community transmission
Tunisia,Eastern Mediterranean,224329,1898.1,5765,48.78,780,7617,64.45,285,2.41,42,Community transmission
